way,acc_mean,acc_std,learning_rate,n_estimators
l_ts5_0.84,0.846649,0.05383,0.1,100.0
l_ts5_0.84,0.845077,0.055097,0.1,120.0
l_ts5_0.84,0.844486,0.054783,0.1,140.0
l_ts5_0.84,0.844266,0.053855,0.1,160.0
l_ts5_0.84,0.844384,0.053429,0.1,180.0
l_ts5_0.84,0.84359,0.05379,0.1,200.0
l_ts5_0.84,0.84266,0.054955,0.1,220.0
l_ts5_0.84,0.840345,0.05141,0.5,40.0
l_ts5_0.84,0.838993,0.051302,0.5,60.0
l_ts5_0.84,0.838908,0.051054,0.5,80.0
l_ts5_0.84,0.83786,0.050394,0.5,100.0
l_ts5_0.84,0.837759,0.050345,0.5,120.0
l_ts5_0.84,0.837488,0.050568,0.5,140.0
l_ts5_0.84,0.836863,0.050703,0.5,160.0
l_ts5_0.84,0.836846,0.050879,0.5,180.0
l_ts5_0.84,0.836609,0.050393,0.5,200.0
l_ts5_0.84,0.836086,0.050655,0.5,220.0
l_ts5_0.84,0.829477,0.048297,1.0,40.0
l_ts5_0.84,0.828463,0.047802,1.0,60.0
l_ts5_0.84,0.82897,0.048187,1.0,80.0
l_ts5_0.84,0.828175,0.048229,1.0,100.0
l_ts5_0.84,0.828632,0.048229,1.0,120.0
l_ts5_0.84,0.828175,0.04827,1.0,140.0
l_ts5_0.84,0.828277,0.048482,1.0,160.0
l_ts5_0.84,0.827956,0.048791,1.0,180.0
l_ts5_0.84,0.82826,0.048742,1.0,200.0
l_ts5_0.84,0.828243,0.048635,1.0,220.0
l_ts10_0.85,0.827688,0.063444,0.001,40.0
l_ts10_0.85,0.828556,0.063243,0.001,60.0
l_ts10_0.85,0.826976,0.065089,0.001,80.0
l_ts10_0.85,0.828293,0.063636,0.001,100.0
l_ts10_0.85,0.8293,0.062591,0.001,120.0
l_ts10_0.85,0.829795,0.062799,0.001,140.0
l_ts10_0.85,0.828928,0.06249,0.001,160.0
