way,acc_mean,acc_std,learning_rate,n_estimators
s_ts5_Nt40-4000.82,0.816361,0.012411,0.005,360.0
s_ts5_Nt40-4000.82,0.815448,0.012443,0.005,380.0
s_ts5_Nt40-4000.82,0.815398,0.012627,0.005,400.0
s_ts5_Nt40-4000.82,0.808011,0.024915,0.01,40.0
s_ts5_Nt40-4000.82,0.80671,0.022303,0.01,60.0
s_ts5_Nt40-4000.82,0.808011,0.014593,0.01,80.0
s_ts5_Nt40-4000.82,0.812457,0.009009,0.01,100.0
s_ts5_Nt40-4000.82,0.814519,0.009301,0.01,120.0
s_ts5_Nt40-4000.82,0.81511,0.010248,0.01,140.0
s_ts5_Nt40-4000.82,0.817054,0.01039,0.01,160.0
s_ts5_Nt40-4000.82,0.815127,0.012744,0.01,180.0
s_ts5_Nt40-4000.82,0.814806,0.01313,0.01,200.0
s_ts5_Nt40-4000.82,0.818744,0.011525,0.01,220.0
s_ts5_Nt40-4000.82,0.819082,0.011168,0.01,240.0
s_ts5_Nt40-4000.82,0.818913,0.011924,0.01,260.0
s_ts5_Nt40-4000.82,0.821026,0.014111,0.01,280.0
s_ts5_Nt40-4000.82,0.821398,0.015539,0.01,300.0
s_ts5_Nt40-4000.82,0.820282,0.018235,0.01,320.0
s_ts5_Nt40-4000.82,0.819623,0.019101,0.01,340.0
s_ts5_Nt40-4000.82,0.817815,0.022527,0.01,360.0
s_ts5_Nt40-4000.82,0.814891,0.026843,0.01,380.0
s_ts5_Nt40-4000.82,0.814722,0.0275,0.01,400.0
s_ts5_Nt40-4000.82,0.81271,0.010926,0.05,40.0
s_ts5_Nt40-4000.82,0.819539,0.014867,0.05,60.0
s_ts5_Nt40-4000.82,0.819843,0.018232,0.05,80.0
s_ts5_Nt40-4000.82,0.820772,0.021104,0.05,100.0
s_ts5_Nt40-4000.82,0.819505,0.02432,0.05,120.0
s_ts5_Nt40-4000.82,0.823274,0.021256,0.05,140.0
s_ts5_Nt40-4000.82,0.823967,0.019303,0.05,160.0
s_ts5_Nt40-4000.82,0.823375,0.022592,0.05,180.0
s_ts5_Nt40-4000.82,0.822801,0.023854,0.05,200.0
s_ts5_Nt40-4000.82,0.821263,0.025234,0.05,220.0
s_ts5_Nt40-4000.82,0.820384,0.02513,0.05,240.0
s_ts5_Nt40-4000.82,0.82057,0.026245,0.05,260.0
s_ts5_Nt40-4000.82,0.82155,0.024578,0.05,280.0
s_ts5_Nt40-4000.82,0.823139,0.023869,0.05,300.0
s_ts5_Nt40-4000.82,0.822209,0.024363,0.05,320.0
s_ts5_Nt40-4000.82,0.822141,0.023537,0.05,340.0
s_ts5_Nt40-4000.82,0.821736,0.023591,0.05,360.0
s_ts5_Nt40-4000.82,0.821043,0.022884,0.05,380.0
s_ts5_Nt40-4000.82,0.820232,0.023784,0.05,400.0
s_ts5_Nt40-4000.82,0.816006,0.028575,0.1,40.0
s_ts5_Nt40-4000.82,0.819133,0.027043,0.1,60.0
s_ts5_Nt40-4000.82,0.81653,0.029506,0.1,80.0
