way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
tf5_0.844,0.798039,0.05061,0.005,140.0,100.0
tf5_0.844,0.793205,0.053587,0.005,140.0,150.0
tf5_0.844,0.795453,0.054373,0.005,140.0,200.0
tf5_0.844,0.796298,0.054658,0.005,140.0,250.0
tf5_0.844,0.817747,0.063956,0.005,160.0,31.0
tf5_0.844,0.816834,0.047564,0.005,160.0,50.0
tf5_0.844,0.796873,0.050646,0.005,160.0,100.0
tf5_0.844,0.795132,0.050844,0.005,160.0,150.0
tf5_0.844,0.795589,0.052925,0.005,160.0,200.0
tf5_0.844,0.796298,0.053152,0.005,160.0,250.0
tf5_0.844,0.818017,0.063734,0.005,180.0,31.0
tf5_0.844,0.817139,0.047465,0.005,180.0,50.0
tf5_0.844,0.797465,0.05052,0.005,180.0,100.0
tf5_0.844,0.795927,0.04928,0.005,180.0,150.0
tf5_0.844,0.796113,0.052275,0.005,180.0,200.0
tf5_0.844,0.796586,0.051814,0.005,180.0,250.0
tf5_0.844,0.81773,0.062167,0.005,200.0,31.0
tf5_0.844,0.819386,0.047828,0.005,200.0,50.0
tf5_0.844,0.801132,0.050193,0.005,200.0,100.0
tf5_0.844,0.799746,0.048724,0.005,200.0,150.0
tf5_0.844,0.796028,0.052392,0.005,200.0,200.0
tf5_0.844,0.798732,0.050342,0.005,200.0,250.0
tf5_0.844,0.818237,0.062911,0.005,220.0,31.0
tf5_0.844,0.817493,0.04871,0.005,220.0,50.0
tf5_0.844,0.800118,0.049966,0.005,220.0,100.0
tf5_0.844,0.802468,0.049384,0.005,220.0,150.0
tf5_0.844,0.798141,0.051118,0.005,220.0,200.0
tf5_0.844,0.798969,0.050804,0.005,220.0,250.0
tf5_0.844,0.750799,0.186982,0.01,40.0,31.0
tf5_0.844,0.742804,0.173672,0.01,40.0,50.0
tf5_0.844,0.732122,0.170551,0.01,40.0,100.0
tf5_0.844,0.729519,0.169568,0.01,40.0,150.0
tf5_0.844,0.733356,0.17126,0.01,40.0,200.0
tf5_0.844,0.732494,0.170874,0.01,40.0,250.0
tf5_0.844,0.806693,0.061077,0.01,60.0,31.0
tf5_0.844,0.808873,0.053208,0.01,60.0,50.0
tf5_0.844,0.800558,0.05196,0.01,60.0,100.0
tf5_0.844,0.791059,0.055569,0.01,60.0,150.0
tf5_0.844,0.794405,0.056325,0.01,60.0,200.0
tf5_0.844,0.795284,0.05638,0.01,60.0,250.0
tf5_0.844,0.818389,0.064394,0.01,80.0,31.0
tf5_0.844,0.810209,0.047872,0.01,80.0,50.0
tf5_0.844,0.797532,0.051022,0.01,80.0,100.0
tf5_0.844,0.794845,0.051122,0.01,80.0,150.0
tf5_0.844,0.795994,0.053809,0.01,80.0,200.0
tf5_0.844,0.796603,0.053623,0.01,80.0,250.0
tf5_0.844,0.816969,0.060959,0.01,100.0,31.0
tf5_0.844,0.818896,0.047114,0.01,100.0,50.0
tf5_0.844,0.801876,0.049269,0.01,100.0,100.0
tf5_0.844,0.799966,0.048349,0.01,100.0,150.0
tf5_0.844,0.795453,0.052258,0.01,100.0,200.0
tf5_0.844,0.798479,0.050107,0.01,100.0,250.0
tf5_0.844,0.817882,0.06245,0.01,120.0,31.0
tf5_0.844,0.819285,0.050656,0.01,120.0,50.0
tf5_0.844,0.802856,0.046138,0.01,120.0,100.0
tf5_0.844,0.803178,0.049183,0.01,120.0,150.0
tf5_0.844,0.799104,0.051153,0.01,120.0,200.0
tf5_0.844,0.798986,0.050743,0.01,120.0,250.0
tf5_0.844,0.820925,0.061768,0.01,140.0,31.0
tf5_0.844,0.828767,0.052796,0.01,140.0,50.0
tf5_0.844,0.807437,0.042627,0.01,140.0,100.0
tf5_0.844,0.807335,0.043622,0.01,140.0,150.0
tf5_0.844,0.79858,0.048818,0.01,140.0,200.0
tf5_0.844,0.799442,0.047903,0.01,140.0,250.0
tf5_0.844,0.829798,0.056399,0.01,160.0,31.0
tf5_0.844,0.831319,0.053629,0.01,160.0,50.0
tf5_0.844,0.810648,0.043063,0.01,160.0,100.0
tf5_0.844,0.807809,0.043206,0.01,160.0,150.0
tf5_0.844,0.797279,0.046337,0.01,160.0,200.0
tf5_0.844,0.801217,0.04596,0.01,160.0,250.0
tf5_0.844,0.831691,0.05382,0.01,180.0,31.0
tf5_0.844,0.829815,0.05079,0.01,180.0,50.0
tf5_0.844,0.811037,0.041736,0.01,180.0,100.0
